type,token_or_ngram,frequency,phrase_count,as_head_count,as_modifier_count
token,fest,27,27,1,26
token,pomazánka,27,27,0,27
token,rok,27,27,4,23
token,facebook,27,27,4,23
token,seznam,27,27,5,22
token,youtube,27,27,11,16
token,guláš,27,27,5,22
token,vodu,27,27,0,27
token,podle,27,27,0,27
token,kůže,27,27,11,16
token,mýto,27,27,7,20
token,nemoc,27,27,9,18
token,dopravní,27,25,1,26
token,zkušenosti,27,27,3,24
token,opava,27,27,0,27
token,čsfd,26,26,20,6
token,koncerty,26,26,1,25
token,čvut,26,26,14,12
token,mapy,26,26,4,22
token,sen,26,22,2,24
token,dítě,26,26,9,17
token,známka,26,26,0,26
token,vše,26,26,2,24
token,slovensko,26,26,1,25
token,czk,26,26,1,25
token,řeznictví,26,26,18,8
token,pčr,26,26,13,13
token,lyžování,26,26,7,19
token,kuchyně,26,26,3,23
token,jihlava,26,26,0,26
token,výška,26,26,6,20
token,marek,26,26,20,6
token,ročník,26,26,4,22
token,republika,25,25,0,25
token,ať,25,25,20,5
token,břeclav,25,25,7,18
token,latinsky,25,25,0,25
token,bistro,25,25,6,19
token,střední,25,25,3,22
token,kraje,25,25,0,25
token,člověk,25,25,6,19
token,dort,25,25,0,25
token,skloňování,25,25,2,23
token,kino,25,25,3,22
token,lípa,25,25,4,21
token,židle,25,25,11,14
token,zču,25,25,11,14
token,masem,25,25,0,25
token,vrácení,25,25,7,18
token,let,25,25,11,14
token,společnost,25,25,3,22
token,oc,25,25,24,1
token,šperky,25,25,8,17
token,slovensky,25,25,0,25
token,říše,25,25,13,12
token,urnik,25,25,0,25
token,zdeněk,25,25,15,10
token,iphone,25,25,20,5
token,žena,25,25,12,13
token,knižně,25,25,0,25
token,značenje,25,25,1,24
token,jaký,25,25,19,6
token,beograd,25,24,0,25
token,chata,25,25,7,18
token,čem,25,25,24,1
token,prešov,25,25,1,24
token,sr,25,25,0,25
token,czech,25,25,10,15
token,řízení,25,25,6,19
token,čsob,24,24,14,10
token,pravidla,24,24,8,16
token,překladač,24,24,13,11
token,áÿ,24,10,0,24
token,až,24,23,12,12
token,park,24,24,6,18
token,knihy,24,24,3,21
token,csfd,24,24,0,24
token,hzs,24,24,5,19
token,nůž,24,24,5,19
token,žloutenka,24,24,21,3
token,uherské,24,24,2,22
token,noc,24,24,3,21
token,trnava,24,24,0,24
token,nežádoucí,24,24,3,21
token,o2,24,24,0,24
token,portál,24,24,3,21
token,zeď,24,24,10,14
token,roman,24,24,19,5
token,dveří,24,24,0,24
token,ču,24,21,9,12
token,radeček,23,22,21,1
token,čínský,23,23,16,7
token,bílý,23,23,10,13
token,ač,23,23,23,0
token,barva,23,23,0,23
token,fakulta,23,23,0,23
token,tu,23,23,6,17
token,řády,23,23,1,22
token,škodlivost,23,23,17,6
token,zvíře,23,23,11,12
token,poděbrady,23,23,8,15
token,červený,23,23,6,17
token,řecké,23,23,11,12
token,jakub,23,23,18,5
token,knihovna,23,23,2,21
token,řezy,23,23,6,17
token,policie,23,23,2,21
token,proti,23,23,1,22
token,taxi,23,23,4,19
token,pre,23,23,4,19
token,adam,23,23,17,6
token,vivo,23,23,23,0
token,hodonín,23,23,0,23
token,trenčín,23,23,0,23
token,manželka,23,23,0,23
token,či,23,22,14,8
token,petra,23,23,11,12
token,we,23,23,12,11
token,st9,23,23,0,23
token,věž,22,22,6,16
token,čárka,22,22,8,14
token,horoskop,22,22,0,22
token,moře,22,22,2,20
token,formulář,22,22,4,18
token,obchody,22,22,0,22
token,dětské,22,22,15,7
token,válka,22,22,5,17
token,hry,22,22,2,20
token,bunda,22,22,0,22
token,velký,22,22,6,16
token,polička,22,22,2,20
token,banka,22,22,2,20
token,říčany,22,22,4,18
token,krizovka,22,22,0,22
token,řsd,22,22,18,4
token,sůl,22,22,13,9
token,zábřeh,22,22,4,18
token,síť,22,22,18,4
token,štěně,22,22,7,15
token,karel,22,22,11,11
token,pizza,22,22,8,14
token,příběh,22,22,4,18
token,cup,22,22,2,20
token,koření,22,22,3,19
token,vě,22,22,6,16
token,domažlice,22,22,2,20
token,chomutov,22,22,0,22
token,služba,22,22,1,21
token,kateřina,22,22,19,3
token,bar,22,22,3,19
token,hořovice,22,22,11,11
token,split,22,22,6,16
token,myčka,22,22,14,8
token,số,22,21,0,22
token,měsíční,22,22,22,0
token,fotbalová,22,22,0,22
token,jazyk,21,21,1,20
token,kurz,21,21,7,14
token,čzu,21,21,13,8
token,archiv,21,21,8,13
token,boty,21,21,0,21
token,aš,21,21,11,10
token,obsazení,21,21,6,15
token,no,21,21,2,19
token,povlečení,21,21,3,18
token,pivovar,21,21,2,19
token,stříbro,21,21,6,15
token,něco,21,16,11,5
token,nn,21,21,20,1
token,školení,21,21,3,18
token,troubě,21,21,1,20
token,kým,21,21,21,0
token,žije,21,21,6,15
token,ponožky,21,21,1,20
token,školy,21,21,0,21
token,ty,21,20,8,12
token,čeho,21,21,18,3
token,roční,21,21,14,7
token,frýdek,21,21,7,14
token,litomyšl,21,21,1,20
token,přiznání,21,21,5,16
token,josef,21,21,18,3
token,čaje,21,21,10,11
token,masa,21,21,0,21
token,holešov,21,21,4,17
token,března,21,21,21,0
token,čnb,20,20,13,7
token,octavia,20,20,5,15
token,dieta,20,20,10,10
token,žďár,20,20,7,13
token,postavy,20,20,0,20
token,eshop,20,20,0,20
token,akci,20,20,0,20
token,písničky,20,20,3,17
token,vlajka,20,20,3,17
token,upol,20,20,1,19
token,photos,20,20,1,19
token,kalhoty,20,20,0,20
token,růže,20,20,12,8
token,kčs,20,20,19,1
token,bezpečnost,20,20,0,20
token,ňu,20,14,11,3
token,chleba,20,20,0,20
token,code,20,20,5,15
token,papír,20,20,1,19
token,výpis,20,20,13,7
token,martina,20,20,14,6
token,brambory,20,20,0,20
token,žatec,20,20,7,13
token,letov,20,20,20,0
token,celje,20,20,0,20
token,příspěvek,20,20,5,15
token,lidl,20,20,1,19
token,vinařství,20,20,6,14
token,druhy,20,20,14,6
token,příbalový,20,20,0,20
token,syn,20,20,0,20
token,peter,20,20,17,3
token,filip,20,20,15,5
token,ký,20,20,16,4
token,nařízení,20,20,11,9
token,čls,20,20,10,10
token,noční,20,20,11,9
token,ivan,20,20,14,6
token,slaný,20,20,2,18
token,sada,20,20,11,9
token,daních,20,20,0,20
token,nahlížení,19,19,10,9
token,rejstřík,19,19,8,11
token,news,19,19,1,18
token,zkouška,19,19,3,16
token,čssz,19,19,15,4
token,as,19,18,4,14
token,lucie,19,19,13,6
token,mladá,19,19,0,19
token,františek,19,19,12,7
token,new,19,19,4,15
token,jsou,19,19,4,15
token,může,19,19,10,9
token,klinika,19,19,1,18
token,čistič,19,19,8,11
token,hc,19,19,19,0
token,ikea,19,19,3,16
token,pelhřimov,19,19,2,17
token,nejlepší,19,19,12,7
token,vlasů,19,19,0,19
token,něrgešová,19,19,11,8
token,plech,19,19,0,19
token,dotace,19,19,3,16
token,herečka,19,19,1,18
token,nova,19,19,4,15
token,ověření,19,19,12,7
token,stažení,19,19,1,18
token,reality,19,19,1,18
token,špagety,19,19,11,8
token,řepy,19,19,0,19
token,domácí,19,19,1,18
token,vysoké,19,19,3,16
token,vilnius,19,19,3,16
token,zbraně,19,19,9,10
token,telefon,19,19,2,17
token,mzdy,19,19,3,16
token,zúčtování,19,19,7,12
token,účtu,19,19,8,11
token,bude,19,19,7,12
token,občanský,19,19,10,9
token,stupňů,19,19,17,2
token,sarajevo,19,19,2,17
token,služby,19,19,4,15
token,lý,19,19,13,6
token,pě,19,19,7,12
token,nářadí,19,19,9,10
token,jižní,19,19,12,7
token,jep,19,19,0,19
token,koček,19,19,2,17
token,trutnov,19,19,1,18
token,mesto,19,19,4,15
token,šedá,19,19,5,14
token,uršula,19,19,10,9
token,čedok,18,18,14,4
token,obecná,18,18,1,17
token,ťuk,18,11,10,1
token,původ,18,18,7,11
token,skupina,18,18,3,15
token,dny,18,18,11,7
token,manžel,18,18,0,18
token,valašské,18,18,1,17
token,vypínač,18,18,12,6
token,fk,18,18,14,4
token,max,18,18,0,18
token,logopedie,18,18,14,4
token,měření,18,18,8,10
token,sž,18,18,14,4
token,kaše,18,18,1,17
token,kýla,18,18,10,8
token,slovník,18,18,0,18
token,víš,18,17,9,9
token,rozbor,18,18,0,18
token,nýřany,18,18,11,7
token,péče,18,18,9,9
token,kolo,18,18,4,14
token,šd,18,18,17,1
token,narozeninám,18,18,4,14
token,časopis,18,18,4,14
token,třebová,18,18,0,18
token,ýsa,18,18,18,0
token,video,18,18,2,16
token,žádost,18,18,13,5
token,díly,18,18,1,17
token,pivo,18,18,0,18
token,natječaji,18,18,0,18
token,hodin,18,18,4,14
token,sirup,18,18,1,17
token,složení,18,18,1,17
token,farma,18,18,5,13
token,srdce,18,18,0,18
token,nabíječka,18,18,9,9
token,ir,18,18,5,13
token,lišta,18,18,7,11
token,osvč,18,18,3,15
token,ceník,18,18,6,12
token,ovladač,18,18,13,5
token,bystřice,18,18,5,13
token,que,18,18,16,2
token,vedlejší,18,18,3,15
token,prci,18,9,9,0
token,řádu,18,18,0,18
token,června,18,18,18,0
token,dámské,17,17,2,15
token,čb,17,17,12,5
token,sparta,17,17,0,17
token,audi,17,17,15,2
token,prahy,17,17,0,17
token,slunce,17,17,0,17
token,cestovní,17,17,2,15
token,stavební,17,17,1,16
token,hlášení,17,17,3,14
token,daň,17,17,8,9
token,klíč,17,17,4,13
token,domov,17,17,3,14
token,cukroví,17,17,0,17
token,účetnictví,17,17,4,13
token,metráž,17,17,0,17
token,dolarů,17,17,15,2
token,kadeřnictví,17,17,7,10
token,náš,17,17,4,13
token,těsta,17,17,0,17
token,důchod,17,17,2,15
token,ťzp,17,17,13,4
token,uherský,17,17,4,13
token,skříň,17,17,3,14
token,úštěk,17,17,17,0
token,stroj,17,17,0,17
token,těsto,17,17,3,14
token,čisté,17,17,0,17
token,telefonní,17,17,5,12
token,zůna,17,17,16,1
token,zánět,17,17,14,3
token,lékařská,17,17,12,5
token,můstek,17,17,8,9
token,bor,17,17,2,15
token,cesta,17,17,1,16
token,nábytek,17,17,4,13
token,ne,17,15,5,10
token,čsú,17,17,16,1
token,ča,17,10,10,0
token,slepice,17,17,0,17
token,křížovce,17,17,0,17
token,odst,17,17,16,1
token,činnosti,17,17,3,14
token,občanského,17,17,11,6
token,věty,17,15,9,6
token,o5,16,15,0,16
token,angličtina,16,16,6,10
token,teplice,16,16,0,16
token,řidič,16,16,8,8
token,čt1,16,16,0,16
token,okna,16,16,0,16
token,karlovy,16,16,1,15
token,vary,16,16,0,16
token,mzda,16,16,0,16
token,příklady,16,16,0,16
token,potřeby,16,16,0,16
token,měsíce,16,16,4,12
token,řez,16,16,6,10
token,eu,16,16,4,12
token,led,16,16,7,9
token,dřeva,16,16,1,15
token,som,16,16,0,16
token,jž,16,16,16,0
token,tišnov,16,16,6,10
token,net,16,16,1,15
token,hovězí,16,16,10,6
token,dič,16,16,9,7
token,you,16,16,6,10
token,lukáš,16,16,11,5
token,věznice,16,16,10,6
token,rád,16,15,2,14
token,mše,16,16,8,8
token,půjčovna,16,16,9,7
token,polštář,16,16,0,16
token,miroslav,16,16,13,3
token,kapela,16,16,2,14
token,údolí,16,16,10,6
token,šárka,16,16,12,4
token,snář,16,16,15,1
token,box,16,16,2,14
token,vůně,16,16,11,5
token,voš,16,16,8,8
token,diář,16,16,11,5
token,0š,16,16,0,16
token,anděl,16,16,8,8
token,použití,16,16,1,15
token,jsi,16,15,4,12
token,ii,16,16,4,12
token,ložiska,16,16,2,14
token,škála,16,16,6,10
token,lenka,16,16,12,4
token,boží,16,16,6,10
token,lásky,16,16,1,15
token,počasie,16,16,4,12
token,víno,16,16,2,14
token,muže,16,16,0,16
token,hotel,16,16,3,13
token,vš,16,16,13,3
token,hlavy,16,16,0,16
token,místek,16,16,0,16
token,šume,16,16,0,16
token,cheb,16,16,3,13
token,dani,16,16,7,9
token,klatovy,16,16,0,16
token,tyč,16,15,4,11
token,jídelníček,16,16,8,8
token,plot,16,16,1,15
token,beroun,16,16,1,15
token,veřejné,16,16,9,7
token,malý,16,16,10,6
token,ředitel,16,16,7,9
token,vůz,16,16,11,5
token,žáček,16,16,12,4
token,šk,16,16,15,1
token,žalec,16,16,5,11
token,bao,16,16,7,9
token,izbový,16,16,16,0
token,července,16,16,16,0
token,café,15,15,3,12
token,tm,15,15,6,9
token,běžky,15,15,5,10
token,pás,15,15,0,15
token,březen,15,15,8,7
token,babiš,15,15,8,7
token,uši,15,15,11,4
token,spz,15,15,4,11
token,kámen,15,15,3,12
token,výměna,15,15,11,4
token,déčko,15,15,14,1
token,déšť,15,15,10,5
token,ma,15,15,8,7
token,netflix,15,15,2,13
token,ďáblice,15,15,1,14
token,song,15,15,0,15
token,říjen,15,15,13,2
token,mezi,15,15,1,14
token,vlaků,15,15,0,15
token,kabel,15,15,0,15
token,hž,15,15,15,0
token,ič,15,15,15,0
token,dačice,15,15,6,9
token,křeslo,15,15,4,11
token,air,15,15,1,14
token,kuře,15,15,4,11
token,jaroměř,15,15,1,14
token,kost,15,15,0,15
token,le,15,15,3,12
token,krumlov,15,15,4,11
token,očr,15,15,14,1
token,učebnice,15,15,11,4
token,so,15,15,2,13
token,nářečně,15,15,0,15
token,ulice,15,15,3,12
token,červená,15,15,2,13
token,hay,15,15,4,11
token,řp,15,15,15,0
token,sš,15,15,14,1
token,řazení,15,15,15,0
token,sfžp,15,15,13,2
token,sound,15,15,12,3
token,řež,15,15,5,10
token,vězení,15,15,2,13
token,mobil,15,15,3,12
token,čl,15,15,14,1
token,tabák,15,15,2,13
token,zuš,15,15,12,3
token,veronika,15,15,13,2
token,lokomotiva,15,15,12,3
token,að,15,15,0,15
token,em,15,15,13,2
token,ivančice,15,15,1,14
token,zoo,15,15,3,12
token,novi,15,15,3,12
token,hrubého,15,15,14,1
token,otevírací,15,15,0,15
token,znacenje,15,15,0,15
token,fačr,15,15,10,5
token,soš,15,15,11,4
token,řetízek,15,15,13,2
token,skola,15,15,0,15
token,čištění,15,15,12,3
token,světě,15,15,0,15
token,náušnice,15,15,9,6
token,třeboň,15,15,3,12
token,sáčky,15,15,9,6
token,čo,15,15,13,2
token,znak,15,15,2,13
token,boleslav,15,14,0,15
token,bě,15,15,10,5
token,bakaláři,15,15,4,11
token,havlíčkův,15,15,1,14
token,dnů,15,15,11,4
token,výstavy,15,15,2,13
token,čsn,15,15,13,2
token,stavby,15,15,1,14
token,č.,15,15,0,15
token,ústí,15,15,0,15
token,dějiny,15,14,5,10
token,píseň,15,15,0,15
token,vyúčtování,15,15,12,3
token,autobus,15,15,9,6
token,rs,15,15,9,6
token,měď,15,15,13,2
token,písmeno,15,15,9,6
token,hodiny,15,15,1,14
token,trestního,15,15,9,6
token,osř,15,15,15,0
token,ňom,15,15,10,5
token,zd,15,15,13,2
token,szš,15,15,14,1
token,sh,15,15,14,1
token,nhiêu,15,15,0,15
token,óčko,14,14,14,0
token,řím,14,14,4,10
token,zprávy,14,14,5,9
token,obory,14,14,0,14
token,pádů,14,14,12,2
token,muž,14,14,7,7
token,čáslav,14,14,2,12
token,část,14,14,5,9
token,soutěže,14,14,0,14
token,čhmú,14,14,13,1
token,předpověď,14,14,6,8
token,beton,14,14,1,13
token,baba,14,14,0,14
token,kuchařka,14,14,1,13
token,muni,14,14,0,14
token,jména,14,14,2,12
token,choroba,14,14,0,14
token,dřevostavby,14,14,5,9
token,york,14,14,0,14
token,hana,14,14,13,1
token,věra,14,14,11,3
token,fžp,14,14,14,0
token,řešení,14,14,10,4
token,arena,14,14,4,10
token,ěr,14,14,13,1
token,smrt,14,14,2,12
token,lčr,14,14,13,1
token,kuřecím,14,14,0,14
token,gř,14,14,14,0
token,gš,14,14,12,2
token,hů,14,10,8,2
token,lyže,14,14,1,13
token,näme,14,14,0,14
token,teď,14,14,9,5
token,usd,14,14,3,11
token,lůžkoviny,14,14,4,10
token,testy,14,14,1,13
token,sušice,14,14,2,12
token,očima,14,14,2,12
token,nůžky,14,14,8,6
token,ošatka,14,14,14,0
token,není,14,14,7,7
token,uý,14,14,14,0
token,elektro,14,14,1,13
token,šrouby,14,14,9,5
token,seriál,14,14,1,13
token,šroub,14,14,13,1
token,dolní,14,14,2,12
token,moči,14,14,2,12
token,group,14,14,0,14
token,nemocnice,14,14,2,12
token,václav,14,14,8,6
token,čepice,14,14,7,7
token,nic,14,14,0,14
token,všb,14,14,13,1
token,postel,14,14,1,13
token,týdenní,14,14,11,3
token,těstoviny,14,14,4,10
token,kočárek,14,14,2,12
token,của,14,14,0,14
token,zřs,14,14,13,1
token,času,14,14,1,13
token,sokolov,14,14,1,13
token,karlovac,14,14,0,14
token,jirkov,14,14,3,11
token,žsr,14,14,11,3
token,župan,14,14,10,4
token,žamberk,14,14,4,10
token,liška,14,14,8,6
token,období,14,14,4,10
token,radio,14,14,9,5
token,života,14,14,1,13
token,fahrenheita,14,14,0,14
token,půst,14,14,10,4
token,prapor,14,14,1,13
token,státní,14,14,3,11
token,bystrica,14,14,0,14
token,naďa,14,14,13,1
token,aeg,14,14,13,1
token,nová,14,14,1,13
token,saša,14,14,14,0
token,taťána,14,14,13,1
token,zo,14,14,5,9
token,spol.,14,14,0,14
token,mm,14,14,6,8
token,nádraží,14,14,2,12
token,tereza,14,14,12,2
token,osob,14,14,0,14
token,kvůli,14,14,10,4
token,nymburk,14,14,2,12
token,bb,14,14,3,11
token,studio,14,14,1,13
token,games,14,14,2,12
token,výroba,14,14,6,8
token,římsky,14,14,14,0
token,telč,14,14,8,6
token,autoservis,14,14,10,4
token,dpč,14,14,11,3
token,fitness,14,14,6,8
token,ovoce,14,14,1,13
token,ján,14,14,8,6
token,loď,14,14,9,5
token,člen,14,14,5,9
token,kiến,14,14,0,14
token,zvuk,14,14,1,13
token,vú,14,14,14,0
token,životů,14,14,13,1
token,tů,14,8,7,1
token,spořitelna,13,13,3,10
token,čtk,13,13,12,1
token,životopis,13,13,5,8
token,ččk,13,13,11,2
token,buď,13,13,11,2
token,roláda,13,13,0,13
token,aý,13,13,11,2
token,ažd,13,13,12,1
token,čpzp,13,13,13,0
token,strakonice,13,13,0,13
token,čkyně,13,13,10,3
token,čov,13,13,11,2
token,palác,13,13,0,13
token,harry,13,13,2,11
